_id,ltable_ID,rtable_ID,Name_Name_jac_qgm_3_qgm_3,Name_Name_cos_dlm_dc0_dlm_dc0,Name_Name_mel,Name_Name_lev_dist,Name_Name_lev_sim,Author_Author_jac_qgm_3_qgm_3,Author_Author_cos_dlm_dc0_dlm_dc0,Author_Author_jac_dlm_dc0_dlm_dc0,Author_Author_mel,Author_Author_lev_dist,Author_Author_lev_sim,Author_Author_nmw,Author_Author_sw,Publishing_Date_Publishing_Date_lev_sim,Publishing_Date_Publishing_Date_jar,Publishing_Date_Publishing_Date_jwn,Publishing_Date_Publishing_Date_exm,Pages_Pages_exm,Pages_Pages_anm,Pages_Pages_lev_dist,predicted
2,31,26,0.39473684210526316,0.7071067811865476,0.8882352709770203,19.0,0.4411764705882353,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
4,620,94,0.8169014084507042,0.8888888888888888,0.9631628394126892,8.0,0.8787878787878788,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,1.0,1.0,1.0,1.0,0.0,0.9921875,1.0,1.0
5,529,97,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.9,0.8925926089286804,0.9355555772781372,0.0,1.0,1.0,0.0,1.0
6,1165,104,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,0.7,0.8259259462356567,0.8955555558204651,0.0,1.0,1.0,0.0,1.0
20,136,281,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,15.0,1.0,1.0,1.0,1.0,0.0,0.9921875,1.0,1.0
23,478,285,0.6333333333333333,0.6454972243679029,0.9045714139938354,34.0,0.5466666666666666,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.9,0.9666666388511658,0.9799999594688416,0.0,0.0,0.996875,2.0,1.0
24,262,357,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,0.9,0.9666666388511658,0.9799999594688416,0.0,1.0,1.0,0.0,1.0
26,631,369,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,0.8,0.9333333373069763,0.9599999785423279,0.0,0.0,0.8,3.0,1.0
27,657,405,0.7682926829268293,0.9230769230769232,0.9359581470489502,8.0,0.8987341772151899,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.8,0.9333333373069763,0.9599999785423279,0.0,1.0,1.0,0.0,1.0
29,100,407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,21.0,21.0,0.9,0.8925926089286804,0.9355555772781372,0.0,1.0,1.0,0.0,1.0
38,655,435,0.7142857142857143,0.8660254037844387,0.9555555582046509,10.0,0.7777777777777778,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,0.5226141078838175,0.7113439685267037,0.7661356471819007,0.007261410788381743,1.0,1.0,0.0,1.0
53,168,478,0.8909090909090909,0.8888888888888888,0.9911764860153198,3.0,0.9558823529411765,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,0.5226141078838175,0.7113439685267037,0.7661356471819007,0.007261410788381743,1.0,1.0,0.0,1.0
59,727,544,0.6888888888888889,0.5773502691896258,0.9082251191139221,24.0,0.5714285714285714,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,0.7,0.800000011920929,0.8600000143051147,0.0,0.0,0.8666666666666667,2.0,1.0
61,2926,586,0.7037037037037037,0.8451542547285165,0.9368420839309692,18.0,0.6842105263157895,1.0,1.0,1.0,1.0,0.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
66,2695,608,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,0.8,0.9333333373069763,0.9599999785423279,0.0,1.0,1.0,0.0,1.0
