ID,Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
1858,The Dark at the End (Repairman Jack),F. Paul Wilson,Tor Books,2012-9-25,Hardcover,432.0,4.4
1859,Pillar to the Sky: A Novel,William R. Forstchen,Tor Books,2016-11-1,Kindle,576.0,3.9
1860,Bitten By Cupid (An Argeneau Vampire Novella),Lynsay Sands,Avon,2010-1-12,Paperback,384.0,4.2
1861,"Standard of Honor (Templar Trilogy, No 2)",Jack Whyte,Berkley,2008-7-29,Kindle,800.0,4.2
1862,Artemisa / Artemis (Spanish Edition),Andy Weir,Nova,2018-2-27,Hardcover,320.0,4.5
1863,The Walking Dead: The Fall of the Governor: Parts 1 and 2 (The Walking Dead Series),Robert Kirkman,St. Martin's Griffin,2014-11-25,Paperback,544.0,4.5
1864,The Walking Dead: Rise of the Governor and The Road to Woodbury (The Walking Dead Series),Robert Kirkman,St. Martin's Griffin,2014-11-25,Hardcover,624.0,4.7
1865,Thus Were Their Faces: Selected Stories (NYRB Classics),Silvina Ocampo,NYRB Classics,2015-1-27,Paperback,384.0,5.0
1866,Marina (Vintage) (Spanish Edition),Carlos Ruiz Zafon,Vintage Espanol,2015-3-17,Paperback,304.0,4.4
1867,Twenty-One Stories (Penguin Twentieth-Century Classics),Graham Greene,Penguin Classics,1993-6-1,Paperback,208.0,4.6
1868,Nigerians in Space,Deji Bryce Olukotun,The Unnamed Press,2014-2-1,Kindle,296.0,4.2
1869,Saturn's Children,Charles Stross,Ace,2009-6-30,Hardcover,336.0,3.8
1870,No More Mr. Nice Guy: A Family Business Novel,Carl Weber,Urban Books,2016-8-30,Hardcover,288.0,4.6
1871,Secondhand Spirits: A Witchcraft Mystery,Juliet Blackwell,Berkley,2009-7-7,Hardcover,336.0,4.3
1872,Inspector Hobbes and the Gold Diggers: Humorous mystery (unhuman) (Volume 3),Wilkie Martin,The Witcherley Book Company,2014-9-28,Hardcover,328.0,4.6
1873,Spark,John Twelve Hawks,Vintage,2015-7-7,Hardcover,320.0,4.3
1874,Vostok (MEG),Steve Alten,Tor Books,2016-5-3,Hardcover,480.0,3.5
1875,Servant of the Underworld (Obsidian and Blood) (Volume 1),Aliette de Bodard,"JABberwocky Literary Agency, Inc.",2016-10-6,Kindle,338.0,4.0
1876,Never Die Alone,Donald Goines,Holloway House,2000-9-1,Paperback,224.0,4.6
1877,The Best Paranormal Crime Stories Ever Told (Best Stories Ever Told),Martin H. Greenberg,Skyhorse Publishing,2010-11-1,Paperback,512.0,4.0
1878,Murder and Misfortune (A Claire Rollins Mystery) (Volume 3),J A Whiting,CreateSpace Independent Publishing Platform,2017-6-12,Kindle,262.0,4.7
1879,Ninjak Volume 1: Weaponeer,Matt Kindt,"Valiant Entertainment, LLC",2015-10-13,Kindle,176.0,4.6
1880,Dead on the Water: Abandon Ship (Zombie Cruise),R W K Clark,Clarkinc,2016-7-28,Kindle,266.0,4.0
1881,The Reluctant Vampire: An Argeneau Novel (Argeneau Vampire),Lynsay Sands,Avon,2011-5-31,Paperback,384.0,4.3
1882,The Kasari Nexus (Rho Agenda Assimilation),Richard Phillips,47North,2016-4-5,Paperback,384.0,4.6
1883,Angry Lead Skies,Glen Cook,Ace,2002-4-1,Paperback,364.0,3.6
1884,"Undead and Unreturnable (Queen Betsy, Book 4) (Berkley Sensation)",MaryJanice Davidson,Berkley Sensation,2006-5-30,Paperback,288.0,3.9
1885,The Gemini Effect,Chuck Grossart,47North,2015-4-1,Hardcover,347.0,3.5
1886,Baltimore Chronicles Volume 2,Treasure Hernandez,Urban Books,2011-1-1,Kindle,288.0,3.5
1887,The Winter Over,Matthew Iden,Thomas & Mercer,2017-2-1,Hardcover,352.0,4.0
1888,Something Rotten (Thursday Next Novels),Jasper Fforde,Penguin Books,2005-7-26,Kindle,416.0,4.5
1889,Cold Fire,Dean Koontz,Berkley,2004-12-7,Hardcover,448.0,4.3
1890,Bound: A Doyle Witch Cozy Mystery (Witches of Doyle) (Volume 1),Kirsten Weiss,misterio press,2016-11-2,Kindle,212.0,4.3
1891,Waking the Dead (Cafferty & Quinn),Heather Graham,MIRA,2015-1-27,Kindle,368.0,4.4
1892,Going Dark (The Red Trilogy),Linda Nagata,Saga Press,2015-11-3,Kindle,464.0,4.4
1893,The Altreian Enigma (Rho Agenda Assimilation),Richard Phillips,47North,2016-12-6,Paperback,352.0,4.7
1894,"The Perfect Date (Fear Street, No. 37)",R. L. Stine,Simon Pulse,2005-6-1,Kindle,160.0,4.1
1895,The Spy Who Haunted Me: A Secret Histories Novel,Simon R. Green,Ace,2010-6-1,Kindle,416.0,4.0
1896,Machine Man (Vintage Contemporaries),Max Barry,Vintage,2011-8-9,Paperback,288.0,3.9
1897,"Vittorio, the Vampire (New Tales of the Vampires)",Anne Rice,Ballantine Books,2001-2-27,Paperback,304.0,3.9
1898,A Darker Shade of Magic: A Novel (Shades of Magic),V. E. Schwab,Tor Books,2016-1-19,Paperback,416.0,4.4
1899,NEKOMONOGATARI (WHITE): Cat Tale,NISIOISIN,Vertical,2018-2-27,Kindle,306.0,
1900,The Bands of Mourning: A Mistborn Novel,Brandon Sanderson,Tor Fantasy,2017-1-3,Kindle,536.0,4.7
1901,Baptism of Fire (The Witcher),Andrzej Sapkowski,Orbit,2014-6-24,Hardcover,400.0,4.6
1902,"Homeland: The Dark Elf Trilogy, Part 1 (Forgotten Realms: The Legend of Drizzt, Book I) (Bk. 1)",R.A. Salvatore,Wizards of the Coast,2005-12-1,Hardcover,384.0,4.7
1903,Towers of Midnight (Wheel of Time),Robert Jordan,Tor Fantasy,2011-10-4,Kindle,1264.0,4.7
1904,The Black Prism (Lightbringer),Brent Weeks,Orbit,2013-7-23,Hardcover,688.0,4.4
1905,The Last Wish: Introducing the Witcher,Andrzej Sapkowski,Orbit,2017-7-18,Kindle,352.0,4.6
1906,The Light Fantastic (Discworld),Terry Pratchett,Harper,2013-1-29,Paperback,288.0,4.5
1907,"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,Tor Fantasy,1992-10-15,Hardcover,704.0,4.6
1908,"Heir of Novron, Vol. 3(Riyria Revelations)",Michael J. Sullivan,Orbit,2012-1-31,Hardcover,960.0,4.8
1909,"Theft of Swords, Vol. 1(Riyria Revelations)",Michael J. Sullivan,Orbit,2011-11-23,Paperback,704.0,4.4
1910,"Gardens of the Moon (The Malazan Book of the Fallen, Book 1)",Steven Erikson,Tor Fantasy,2005-1-10,Paperback,666.0,3.9
1911,"Dragons of Autumn Twilight (Dragonlance Chronicles, Volume I)",Margaret Weis,Wizards of the Coast,2000-2-1,Paperback,448.0,4.6
1912,Senlin Ascends (The Books of Babel),Josiah Bancroft,Orbit,2018-1-16,Paperback,448.0,4.6
1913,The Black Elfstone: The Fall of Shannara,Terry Brooks,Del Rey,2018-2-27,Paperback,400.0,4.6
1914,The Rise of Nagash (Warhammer Chronicles),Mike Lee,Games Workshop,2017-11-7,Hardcover,960.0,4.7
1915,"Assassin's Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,Spectra,1996-3-1,Kindle,448.0,4.4
1916,The Blade Itself (The First Law),Joe Abercrombie,Orbit,2015-9-8,Kindle,560.0,4.3
1917,"Death's Mistress: Sister of Darkness: The Nicci Chronicles, Volume I",Terry Goodkind,Tor Fantasy,2017-12-5,Paperback,656.0,4.3
1918,"Royal Assassin (The Farseer Trilogy, Book 2)",Robin Hobb,Spectra,1997-2-3,Paperback,688.0,4.4
1919,Hero (Legend of Drizzt),R.A. Salvatore,Wizards of the Coast,2017-10-3,Hardcover,440.0,4.7
1920,Red Sister (Book of the Ancestor),Mark Lawrence,Ace,2018-2-27,Kindle,496.0,4.6
1921,The Republic of Thieves (Gentleman Bastards),Scott Lynch,Del Rey,2014-7-29,Hardcover,704.0,4.3
1922,Anansi Boys,Neil Gaiman,William Morrow,2016-10-25,Hardcover,448.0,4.4
1923,The Blinding Knife (Lightbringer),Brent Weeks,Orbit,2013-8-27,Kindle,704.0,4.7
1924,"The Crystal Shard: The Legend of Drizzt, Book 4 (Forgotten Realms)",R.A. Salvatore,Wizards of the Coast,2007-1-9,Hardcover,344.0,4.5
1925,"The Halfling's Gem (The Legend of Drizzt, Book VI)",R.A. Salvatore,Wizards of the Coast,2007-8-7,Kindle,384.0,4.7
1926,Knights of Bretonnia (Warhammer Omnibus),Anthony Reynolds,Games Workshop,2011-3-29,Hardcover,768.0,3.4
1927,Maestro (Forgotten Realms),R.A. Salvatore,Wizards of the Coast,2017-6-6,Paperback,393.0,4.7
1928,Archmage (Forgotten Realms),R.A. Salvatore,Wizards of the Coast,2017-2-7,Hardcover,435.0,4.5
1929,"The Elfstones of Shannara (Shannara, No. 2)",Terry Brooks,Del Rey,1983-12-12,Kindle,576.0,4.4
1930,The Shadow of What Was Lost (The Licanius Trilogy),James Islington,Orbit,2017-5-9,Paperback,736.0,4.3
1931,"Rise of Empire, Vol. 2 (Riyria Revelations)",Michael J. Sullivan,Orbit,2011-12-14,Paperback,816.0,4.7
1932,Before They Are Hanged (The First Law),Joe Abercrombie,Orbit,2015-9-8,Paperback,560.0,4.6
1933,Fire Touched (A Mercy Thompson Novel),Patricia Briggs,Ace,2017-1-31,Hardcover,320.0,4.8
1934,Cast in Shadow (The Chronicles of Elantra),Michelle Sagara,MIRA,2018-1-23,Paperback,464.0,3.9
1935,The Sundering (Warhammer Chronicles),Gav Thorpe,Games Workshop,2018-2-20,Hardcover,960.0,4.7
1936,Dragonflight (Dragonriders of Pern - Volume 1),Anne McCaffrey,Ballantine Books,1986-5-12,Kindle,320.0,4.5
1937,"Streams of Silver: The Icewind Dale Trilogy, Part 2 (Forgotten Realms: The Legend of Drizzt, Book V) (Pt. 2)",R.A. Salvatore,Wizards of the Coast,,Paperback,384.0,4.7
