ID,Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
502,"Fantasy: Comatose: A Fantasy, Romance, Adventure Book",Lori Clark,CreateSpace Independent Publishing Platform,2017-4-11,Kindle,150.0,
503,Fantasy+ 5 - World's Most Imaginative Artworks,Vincent Zhao,Gingko Press,2014-1-7,Hardcover,192.0,4.6
504,The Dragon Island,Diana Molly,Independently published,2017-8-19,Kindle,48.0,4.3
505,Morgansfort: The Western Lands Campaign,Chris Gonnerman,CreateSpace Independent Publishing Platform,2013-2-20,Kindle,74.0,4.8
506,The Fantasy Sports Boss 2018 Fantasy Baseball Draft Guide,Michael Keneski,CreateSpace Independent Publishing Platform,2017-12-17,Paperback,220.0,1.0
507,"Fantasy, Op. 79: Part(s) (Kalmus Edition)",Gabriel Faur\u00e9,Alfred Music,1985-3-1,Hardcover,24.0,
508,"Fantasy Art Coloring Book: Fairies, mermaids, dragons and more!  By artist Molly Harrison",Molly Harrison,CreateSpace Independent Publishing Platform,2015-6-8,Hardcover,52.0,4.5
509,Fantasy Cross Stitch,Lesley Teare,David & Charles,2008-2-27,Kindle,112.0,4.3
510,Dragon-Fire Fantasy: Sheet (The Alfred Duet Series),Carol Matz,Alfred Music,2012-5-1,Kindle,8.0,
511,Fantasy! Cartooning,Ben Caldwell,Sterling,2005-6-1,Kindle,96.0,4.7
512,Delve Volume 1,Andrew Hunter,CreateSpace Independent Publishing Platform,2017-10-5,Kindle,84.0,
513,Winged Fantasy: Draw and Paint Magical and Mythical Creatures,Brenda Lyons,IMPACT Books,2014-7-8,Paperback,144.0,4.8
514,Colonial Fantasies: Towards a Feminist Reading of Orientalism (Cambridge Cultural Social Studies),Meyda Yegenoglu,Cambridge University Press,1998-6-13,Paperback,196.0,4.6
515,Worlds Apart: An Anthology of Russian Fantasy and Science Fiction,Alexander Levitsky,The Overlook Press,2008-7-29,Kindle,656.0,3.6
516,The Morcai Battalion: The Recruit,Diana Palmer,HQN Books,2014-11-25,Paperback,368.0,4.6
517,"Dragon Fantasy Composition Notebook, Narrow Ruled: 100 sheets / 200 pages, 9-3/4"" x 7-1/2""",Vintage Pen Press,CreateSpace Independent Publishing Platform,2017-10-12,Kindle,200.0,
518,The Fantasy Football Black Book 2017 (Fantasy Black Book),Joe Pisapia,Independently published,2017-6-23,Paperback,73.0,3.3
519,"Fantasies of the Master Race: Literature, Cinema, and the Colonization of American Indians",Ward Churchill,City Lights Publishers,2001-1-1,Paperback,261.0,4.1
520,Press Out Flying Dragons and Other Flying Fantasy Creatures,Arcturus Publishing,Arcturus Publishing Limited,2017-3-15,Hardcover,72.0,
521,Silent Hall (Godserfs),NS Dolkart,Angry Robot,2016-6-7,Hardcover,528.0,4.6
522,Hero in a Halfling (Epik Fantasy) (Volume 1),William Tyler Davis,William Davis,2017-10-6,Hardcover,308.0,4.5
523,Color Your Fantasy Coloring Book,Amy Brown,CreateSpace Independent Publishing Platform,2012-6-20,Paperback,40.0,5.0
524,Lightning Returns: Final Fantasy XIII: The Complete Official Guide,Piggyback,Piggyback,2014-2-11,Hardcover,320.0,4.6
525,"Finding Unconscious Fantasy in Narrative, Trauma, and Body Pain: A Clinical Guide",Paula L. Ellman,Routledge,2017-5-18,Kindle,242.0,
526,Fantasy Cinema: Impossible Worlds on Screen (Short Cuts),David Butler,Wallflower Press,2010-4-26,Hardcover,144.0,
527,8: The Year's Best Science Fiction & Fantasy 2016 Edition (Year's Best Science Fiction and Fantasy),Rich Horton,Prime Books,2016-6-21,Hardcover,576.0,3.9
528,Final Fantasy VIII PC Official Strategy Guide (Brady Games),BradyGames,BRADY GAMES,2000-1-5,Kindle,352.0,4.4
529,Dismantling the Fantasy: An Invitation to the Fullness of Life,Darryl Bailey,Non-Duality,2010-4-30,Hardcover,112.0,4.2
530,"The Best of Heroic Fantasy Quarterly: Volume 2, 2011-2013",Adrian Simmons,CreateSpace Independent Publishing Platform,2017-10-23,Paperback,250.0,
531,"Adult Coloring Books Fantasy Realm 3: 43 grayscale coloring pages of fantasy, fairies, flowers, ponies, elves and more (Fantasy Realm Grayscale Coloring Books for Adults) (Volume 3)",Kimberly Hawthorne,CreateSpace Independent Publishing Platform,2017-11-19,Kindle,96.0,4.0
532,"Defender: The Sanctuary Series, Volume One",Robert J. Crane,CreateSpace Independent Publishing Platform,2011-6-29,Hardcover,268.0,4.2
533,"Fantasy Retro Adult Coloring Book: Stress Relieving Fantasy Retro Designs, Inspirational Nature Scenes, and Relaxing Tropical Landscapes",Coloring Plus,CreateSpace Independent Publishing Platform,2018-2-22,Paperback,60.0,
534,FINAL FANTASY TACTICS A2: Grimoire of the Rift Official Strategy Guide (Official Strategy Guides (Bradygames)),BradyGames,BRADY GAMES,2008-6-24,Kindle,224.0,4.2
535,Dragons and Magical Beasts: Extreme Coloring Book,Salariya,Scribo,2016-2-2,Kindle,128.0,4.8
536,"Rachmaninoff -- Fantasy Pieces, Op. 3 (Alfred Masterwork Edition)",Sergei Rachmaninoff,Alfred Music,1986-7-1,Hardcover,40.0,5.0
537,Maps for Fantasy Creatives,Abria Mattina,CreateSpace Independent Publishing Platform,2015-10-9,Kindle,132.0,5.0
538,Final Fantasy XIII-2 - The Complete Official Guide,Piggyback,Piggyback Interactive,2012-1-31,Hardcover,304.0,4.5
539,Child of the Ghosts,Jonathan Moeller,CreateSpace Independent Publishing Platform,2013-2-27,Hardcover,288.0,4.3
540,"A Field Guide to Goblins, Gremlins, and Other Wicked Creatures (Fantasy Field Guides)",A. J Sautter,Capstone Press,2014-7-1,Paperback,32.0,4.5
541,FINAL FANTASY IV Official Strategy Guide (Bradygames Official Strategy Guides),BradyGames,BRADY GAMES,2008-7-16,Kindle,192.0,4.5
542,Fantasia del Tango: The Eugenie Rocherolle Series Intermediate Piano Solos,Eugenie Rocherolle,Hal Leonard,2016-12-1,Kindle,32.0,
543,Magically Bound: Hunted Witch Agency Book 1 (Volume 1),Rachel Medhurst,CreateSpace Independent Publishing Platform,2017-11-20,Kindle,290.0,4.5
544,Balanced on the Blade's Edge (Dragon Blood) (Volume 1),Lindsay A Buroker,CreateSpace Independent Publishing Platform,2014-3-27,Kindle,228.0,4.5
545,"Fantasy Sports and the Changing Sports Media Industry: Media, Players, and Society",Nicholas David Bowman,Lexington Books,2017-9-11,Hardcover,314.0,
546,Steampunk Fantasy: Adult Coloring Book,Ms Melodye R Whitaker,CreateSpace Independent Publishing Platform,2016-8-11,Hardcover,60.0,5.0
547,The Book of Fantasy,Jorge Luis Borges,Carroll & Graf Pub,1990-8-1,Paperback,,3.3
548,The DFS Playbook (2017): Make Money Playing Daily Fantasy Football,4for4 Football,Independently published,2017-8-9,Hardcover,149.0,4.7
549,"Forest Adult Coloring Book: Enchanted Forest coloring book, Fantasy Landscape Scenes, Country Flower Designs, and Mythical Nature Patterns",Art Lixus,CreateSpace Independent Publishing Platform,2018-2-16,Hardcover,84.0,
550,"Adventure Companion (Fantasy Craft, CFG01002)",Alex Flagg,Crafty Games,2011-1-1,Paperback,,4.6
551,"RKO Radio Pictures Horror, Science Fiction and Fantasy Films, 1930-1956",Michael R. Pitts,McFarland,2015-4-3,Kindle,408.0,4.0
552,"The Year's Best Dark Fantasy & Horror, 2011 Edition",Neil Gaiman,Prime Books,2011-8-23,Hardcover,544.0,4.0
553,The Writer's Complete Fantasy Reference,Writers Digest,Writer's Digest Books,2000-11-15,Kindle,304.0,4.0
554,"How to Draw Wizards: Discover the secrets to drawing, painting, and illustrating a world of sorcery (Fantasy Underground)",John Rheaume,Walter Foster Publishing,2010-9-1,Hardcover,128.0,3.9
555,Beginner's Guide to Digital Painting in Photoshop: Sci-fi and Fantasy,3dtotal Publishing,3dtotal Publishing,2016-8-30,Hardcover,224.0,3.9
556,First Violin Concerto and Scottish Fantasy in Full Score (Dover Music Scores),Max Bruch,Dover Publications,2012-6-13,Hardcover,240.0,5.0
557,The Chinese Language: Fact and Fantasy,John DeFrancis,University of Hawaii Press,1986-3-1,Hardcover,342.0,3.5
558,Final Fantasy Crystal Chronicles: Official Nintendo Power Guide,Nintendo of America,Nintendo of America,,Paperback,,4.8
559,The Twelve (Book Two of The Passage Trilogy): A Novel,Justin Cronin,Ballantine Books,2016-1-19,Hardcover,608.0,4.3
560,The Lost Years: Book 1 (Merlin Saga),T. A. Barron,Puffin Books,2011-5-12,Kindle,352.0,4.3
561,Rolemaster Fantasy Role Playing,Coleman Charlton,Iron Crown Enterprises,1999-5-1,Paperback,260.0,4.6
562,The Black River Chronicles: Level One (Black River Academy) (Volume 1),David Tallerman,"Digital Fantasy Fiction, an imprint of Digital Fiction Publishing Corp.",2016-9-28,Hardcover,294.0,4.0
563,The Evolution of Fantasy Role-Playing Games,Michael J. Tresca,McFarland,2010-11-16,Kindle,238.0,4.1
564,Children's Fantasy Literature: An Introduction,Michael Levy,Cambridge University Press,2016-4-16,Kindle,282.0,5.0
565,Fantasy for Trombone: Part(s) (Faber Edition),Malcolm Arnold,FABER & FABER,1998-12-1,Hardcover,4.0,
566,FANTASIA PARA GENTILHOMBRE   FOR GUITAR AND ORCHESTRA     STUDY SCORE (Edition Eulenburg),Joaquin Rodrigo,SCHOTT MUSIK INTL MAINZ,1991-12-1,Kindle,54.0,4.0
567,The Queer Fantasies of the American Family Sitcom,Tison Pugh,Rutgers University Press,2018-2-27,Hardcover,258.0,
568,The Role-Playing Game Primer: and Old-School Playbook,Chris Gonnerman,CreateSpace Independent Publishing Platform,2014-10-8,Paperback,68.0,4.4
569,The Path of Flames (Chronicles of the Black Gate) (Volume 1),Phil Tucker,CreateSpace Independent Publishing Platform,2016-4-5,Paperback,500.0,4.5
570,Caribbean Fantasy,Donald Phelps Sr,Independently published,2017-7-18,Kindle,146.0,
571,The Mage's Passion (The Knight and the Acolyte Book 2): (A Fantasy Erotic Novel) (Volume 2),Reed James,CreateSpace Independent Publishing Platform,2018-2-18,Hardcover,464.0,5.0
572,FINAL FANTASY XI Official Strategy Guide (Brady Games),Michael Lummis,BRADY GAMES,2003-11-5,Kindle,288.0,3.8
573,Final Fantasy XII: Limited Edition Guide,Joe Epstein,Bradygames,2006-0-0,Kindle,,4.4
574,"Writing Monsters: How to Craft Believably Terrifying Creatures to Enhance Your Horror, Fantasy, and Science Fiction",Philip Athans,Writer's Digest Books,2014-9-18,Kindle,224.0,4.2
575,Karma (Karma Series) (Volume 1),Donna Augustine,Strong Hold Publishing,2014-7-9,Kindle,344.0,4.2
576,"The Complete Guide to Writing Fantasy, Vol. 2: The Opus Magus",Tee Morris,Dragon Moon Press,2007-10-1,Paperback,320.0,3.8
577,Feels Like Magic: A wizard school fantasy adventure book for kids and teens aged 9-15,Paul Johnson-Jovanovic,CreateSpace Independent Publishing Platform,2017-5-14,Kindle,258.0,4.8
578,The Fantasy Grayscale Adult Coloring Book: Enchanting Fantasy Fairytale Grayscale Coloring,Donald La Due,CreateSpace Independent Publishing Platform,2017-2-6,Kindle,92.0,
579,Fantasy Landscapes in Watercolour (Fantasy Art),Stuart Littlejohn,Search Press,2010-2-1,Kindle,48.0,5.0
580,"Choral Fantasy, Op. 80 - Vocal Score (German Edition)",Ludwig van Beethoven,"Serenissima Music, Inc.",2006-1-30,Kindle,36.0,
581,Painting the Edge: Deep Data and MLB DFS,Michael Leone,Independently published,2017-3-12,Hardcover,146.0,5.0
582,"Grimgar of Fantasy and Ash, Vol. 2 (manga) (Grimgar of Fantasy and Ash (manga))",Ao Jyumonji,Yen Press,2017-10-31,Hardcover,240.0,5.0
583,"Not a Witch, Not a Fairy: (Fantasy Books for Kids, Kids Mystery Books, Girls Books Ages 9-12, Children's Fantasy Books, Books for Girls Age 8-10 9 12, Kids Fantasy Books)",Navita Dello,Navita Dello,2017-10-11,Paperback,190.0,
584,FINAL FANTASY XIV: A Realm Reborn The Art of Eorzea - Another Dawn - (SE-MOOK),FINAL FANTASY XIV,Square Enix,2014-0-0,Hardcover,304.0,4.4
585,The Fantasy Coloring Book for Grown Ups: Adult Coloring Book (Andrew Dobell Coloring Books) (Volume 1),Mr Andrew Dobell,CreateSpace Independent Publishing Platform,2016-11-14,Paperback,102.0,
586,"Wonderland At Midnight: A Fantasy Adult Coloring Book: A Unique Antistress Colouring Gift for Men, Women, Teenagers & Seniors with Relaxing Mandala ... Relief, Mindful Meditation & Relaxation)",Papeterie Bleu,CreateSpace Independent Publishing Platform,2016-6-1,Hardcover,70.0,4.7
587,"The Palladium RPG Book II: Old Ones (Fantasy Adventure, No 2)",Kevin Siembieda,Palladium Books,1996-1-1,Kindle,,2.3
588,Fire and Bone,Rachel A. Marks,Skyscape,2018-2-20,Paperback,414.0,4.6
589,Mystical Fantasy: Adult Coloring Book (A Charming Forest) (Volume 1),Melanie Steen,CreateSpace Independent Publishing Platform,2017-9-22,Paperback,96.0,5.0
590,SCHERZI & FANTASY F MINOR    PIANO,Frederic Chopin,GS LIBRARY              5,1986-11-1,Hardcover,120.0,3.5
591,"Sojourn: The Legend of Drizzt, Book 3 (Forgotten Realms)",R.A. Salvatore,Wizards of the Coast,2006-6-13,Paperback,346.0,4.7
592,Final Fantasy: Dissidia 012 Signature Series Guide,BradyGames,BradyGames,2011-3-31,Hardcover,352.0,4.1
593,Winter's Fury: The Furyck Saga: Book One,A.E. Rayne,Independently published,2017-9-1,Paperback,736.0,4.3
594,Blood Moon (Wildcat Wizard) (Volume 1),Al K. Line,CreateSpace Independent Publishing Platform,2016-12-8,Kindle,322.0,4.3
595,Private Fantasies (Harlequin Temptation No. 682),Janelle Denison,Harlequin,1998-4-1,Paperback,217.0,3.2
596,Spirit & Fantasy Coloring Book: Grayscale Edition,Michelle Tracey,Michelle Tracey Fantasy Art,2016-8-16,Hardcover,66.0,5.0
597,Wicked Fantasy: A Novel (Paradise),Nicole Jordan,Fawcett,2005-7-26,Hardcover,464.0,3.8
598,Fantasy Football (and Baseball) for Smart People: How to Turn Your Hobby into a Fortune,Jonathan Bales,CreateSpace Independent Publishing Platform,2013-12-5,Paperback,224.0,4.4
599,Fantasy Workshop: A Practical Guide: The Painting Techniques of Boris Vallejo and Julie Bell,Boris Vallejo,Running Press,2003-12-3,Hardcover,160.0,4.2
600,Fantasy for Trumpet: Part(s) (Faber Edition),Malcolm Arnold,FABER & FABER,1998-12-1,Hardcover,4.0,4.5
601,Black: (The Silver Series Book 2) (Volume 2),Cheree Lynn Alsop,CreateSpace Independent Publishing Platform,2011-12-17,Kindle,240.0,4.4
602,A Shade Of Vampire,Bella Forrest,CreateSpace Independent Publishing Platform,2012-12-17,Hardcover,296.0,4.3
603,Hard Work: Remaking the American Labor Movement,Rick Fantasia,University of California Press,2004-6-16,Paperback,259.0,5.0
604,Bloodbones (Fighting Fantasy),Steve Jackson,Icon Books,2010-0-0,Hardcover,320.0,4.2
605,Frey,Melissa Wright,CreateSpace Independent Publishing Platform,2015-11-9,Paperback,260.0,4.0
606,Final Fantasy VII: Original Sound Track Music Sheet,Squaresoft,Doremi Gakufu Shuppan Sha,1997-6-30,Paperback,280.0,4.9
607,Fantasy Begins: Book 1 of The Dungeon Hive Trilogy (Volume 1),Roy Lim,CreateSpace Independent Publishing Platform,2017-8-29,Kindle,338.0,3.7
608,The Society of Imaginary Friends (The Conjurors Series) (Volume 1),Kristen Pham,CreateSpace Independent Publishing Platform,2014-10-8,Paperback,344.0,4.4
609,Special Offers: Book 1 of the Coursodon Dimension Series (Volume 1),M. L. Ryan,Running With Scissors Publishing,2012-2-10,Hardcover,214.0,4.4
610,A Fantasy Wonderland - 3rd Edition: A Greyscale Coloring Book (Volume 3),Hester Moult,CreateSpace Independent Publishing Platform,2017-9-18,Hardcover,106.0,5.0
611,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2
612,Witch Hunt: An Urban Fantasy Mystery (Preternatural Affairs) (Volume 1),S M Reine,CreateSpace Independent Publishing Platform,2014-1-3,Hardcover,232.0,4.0
613,Creating Places (The Art of World Building) (Volume 2),Randy Ellefson,"Evermore Press, LLC",2017-11-9,Paperback,374.0,4.5
614,"Internet Horror, Science Fiction and Fantasy Television Series, 1998-2013",Vincent Terrace,McFarland,2014-5-5,Hardcover,284.0,5.0
615,Fantasy Art Drawing For Beginners: Drawing Fantasy Creatures  With Simple Instructions (Fantasy Drawing) (Volume 1),Emily Ricker,CreateSpace Independent Publishing Platform,2016-9-28,Hardcover,56.0,3.6
616,Days of Endless Night (Runeblade Saga),Matt Larkin,Incandescent Phoenix Books,2017-9-23,Paperback,344.0,4.5
617,Fantasia on Christmas Carols: Vocal score,Ralph Vaughan Williams,"Serenissima Music, Incorporated",2015-9-10,Hardcover,36.0,5.0
618,"Instant Shakespeare: A Proven Technique for Actors, Directors, and Teachers",Louis Fantasia,Ivan R. Dee,2003-3-8,Kindle,224.0,5.0
619,"Fantasy Freaks and Gaming Geeks: An Epic Quest For Reality Among Role Players, Online Gamers, And Other Dwellers Of Imaginary Realms",Ethan Gilsdorf,Lyons Press,2010-9-1,Hardcover,336.0,3.7
620,Draw More Furries: How to Create Anthropomorphic Fantasy Creatures,Jared Hodges,IMPACT Books,2012-11-23,Kindle,128.0,4.6
621,"The Grimm Chronicles, Vol. 1",Ken Brosky,CreateSpace Independent Publishing Platform,2012-8-3,Kindle,406.0,4.2
622,Dark City (The Order of Shadows) (Volume 1),Kit Hallows,CreateSpace Independent Publishing Platform,2016-9-24,Paperback,306.0,4.4
623,Geek Fantasy Novel,Eliot Schrefer,Scholastic Inc.,2016-1-26,Hardcover,320.0,
624,Rabbinic Fantasies: Imaginative Narratives from Classical Hebrew Literature (Yale Judaica Series),David Stern,Yale University Press,1998-3-30,Paperback,376.0,5.0
625,Fighting Fantasy 10 House Of Hell (Puffin Adventure Gamebooks),Steve Jackson,Puffin,1984-12-4,Kindle,224.0,
626,"Demon Mistress (Otherworld, Book 6)",Yasmine Galenorn,Berkley,2009-6-2,Paperback,320.0,4.4
627,Fantasia on a Theme By Thomas Tallis,Ralph Vaughan Williams,"Serenissima Music, Incorporated",2012-12-10,Paperback,36.0,
628,Excalibur Rising,Eileen Enwright Hodgetts,Emerge Publishing,2014-9-25,Paperback,330.0,4.4
629,The Heir of Bluescale (Throne of Fire),Erin Duffin,Independently published,2017-9-30,Paperback,333.0,4.4
630,Quasi Una Fantasia: Essays on Modern Music (Radical Thinkers),Theodor Adorno,Verso,2012-1-16,Kindle,348.0,
631,The Writer's Guide to Fantasy Literature: From Dragon's Lair to Hero's Quest,Philip Martin,Kalmbach Publishing Co.,2002-1-1,Hardcover,192.0,4.8
632,Words of Radiance: Book Two of the Stormlight Archive,Brandon Sanderson,Tor Fantasy,2015-3-3,Hardcover,1328.0,4.8
633,Final Fantasy Bradygames Official Strategy Guide (20th Anniversary),H. Leigh Davis,DK Publishing,2007-6-19,Hardcover,176.0,4.9
634,Lupus Constellation. The Beginning,Mia Tavor,Independently published,2017-10-10,Hardcover,342.0,4.8
635,Peace Corps Fantasies: How Development Shaped the Global Sixties (Critical American Studies),Molly Geidel,Univ Of Minnesota Press,2015-9-15,Hardcover,320.0,3.0
636,The Year's Best Dark Fantasy & Horror 2015 Edition,Paula Guran,Prime Books,2015-6-23,Paperback,576.0,3.5
637,Wizard in a Witchy World (Volume 1),Jamie McFarlane,Fickle Dragon Publishing,2016-2-28,Hardcover,278.0,4.4
638,Fantasia Adult Coloring Book : A Magical World of Fantasy Creatures: Fantasy Coloring Adventure,Super Coloring,CreateSpace Independent Publishing Platform,2017-12-15,Kindle,110.0,1.0
639,Five Seasons Of Angel: Science Fiction and Fantasy Writers Discuss Their Favorite Vampire (Smart Pop series),Glenn Yeffeth,Smart Pop,2004-9-10,Hardcover,216.0,4.1
640,Time Traders,Andre Norton,Baen,,Kindle,448.0,4.3
641,Fantasia An Adult Coloring Book: Of Fantasy & Mythology-The Concise Edition,Casey Gilmore,CreateSpace Independent Publishing Platform,2015-12-14,Paperback,30.0,4.8
642,"Fantasy and Fugue, K. 394 and Fantasies, K. 396 and 397 (Urtext) (Kalmus Edition)",Wolfgang Amadeus Mozart,Alfred Music,1985-3-1,Paperback,20.0,3.0
643,Understanding Fantasy Baseball - No Longer Just for Nerds,Jason Johnson,CreateSpace Independent Publishing Platform,2015-12-19,Hardcover,86.0,4.6
644,Fantasies for Piano (Kalmus Edition),Georg Philipp Telemann,Alfred Music,1985-3-1,Hardcover,36.0,
645,Unicorn Coloring Book for Adults: A Fantasy Adult coloring books,A Fantasy Adult coloring books,CreateSpace Independent Publishing Platform,2017-4-13,Paperback,68.0,
646,How to Draw and Paint Fairyland: A Step-by-Step Guide to Creating the World of Fairies,Linda Ravenscroft,Barron's Educational Series,2008-8-15,Hardcover,128.0,4.6
647,"Choral Fantasy, Op. 80: For Chorus, Piano and Orchestra (German Edition)",Ludwig van Beethoven,Kalmus,1985-3-1,Hardcover,21.0,1.0
648,"Sky Lord (Fighting Fantasy, No. 33)",Martin Allen,Puffin Books,1988-6-9,Kindle,256.0,5.0
649,Faith Journey Through Fantasy Lands,Russell W. Dalton,Augsburg Books,2003-1-1,Kindle,196.0,4.5
650,Time and the Gods (Millennium Fantasy Masterworks),Lord Dunsany,Gollancz,2000-3-16,Paperback,592.0,4.1
651,Harry Potter and the Deathly Hallows (Book 7),J. K. Rowling,Arthur A. Levine Books,2009-7-1,Paperback,784.0,4.7
652,The Hobbit,J. R. R. Tolkien,Houghton Mifflin Harcourt,2012-9-18,Paperback,300.0,4.7
653,The Little Prince,Antoine de Saint-Exup\u00e9ry,Mariner Books,2000-5-15,Paperback,96.0,4.5
654,Fantasy in C Minor (Kalmus Edition),Johann Sebastian Bach,Alfred Music,1985-3-1,Hardcover,8.0,
655,Great Short Novels of Adult Fantasy,Lin Carter,Ballantine Books,,Paperback,248.0,4.0
656,Forbidden: The Arotas Trilogy,Amy Miles,CreateSpace Independent Publishing Platform,2012-1-6,Hardcover,278.0,4.2
657,Manga Mania Fantasy Worlds: How to Draw the Amazing Worlds of Japanese Comics,Christopher Hart,Watson-Guptill,2003-9-1,Kindle,144.0,3.8
658,"Chromatic Fantasy and Fugue, BWV 903 (Alfred Masterwork Edition)",Johann Sebastian Bach,Alfred Music,2001-5-1,Paperback,20.0,
659,The Mermaid's Sister,Carrie Anne Noble,Skyscape,2015-3-1,Paperback,236.0,4.2
660,Hollywood Fantasies of Miscegenation: Spectacular Narratives of Gender and Race,Susan Courtney,Princeton University Press,2004-12-5,Hardcover,376.0,
661,Egyptomania Goes to the Movies: From Archaeology to Popular Craze to Hollywood Fantasy,Matthew Coniam,McFarland,2017-8-25,Hardcover,200.0,5.0
662,A Graphix Book: Wings of Fire Graphic Novel #1: The Dragonet Prophecy,Mike Holmes,Graphix,2018-1-2,Kindle,224.0,4.6
663,Final Fantasy X-2: The Official Guide,Piggyback,Piggyback Interactive,2004-2-1,Kindle,242.0,3.6
664,Kiss of Death - Coloring Book For Adults: Fantasy Horror Beautiful Women - Day of the Dead Sugar Skulls,Rachel Mintz,CreateSpace Independent Publishing Platform,2018-2-20,Kindle,82.0,
665,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,Bantam,2013-10-29,Paperback,5216.0,4.7
666,Gurp's Fantasy Folk,Chris W. McCubbin,Steve Jackson Games,1991-8-1,Kindle,,5.0
667,FINAL FANTASY(r) II Official Strategy Guide (Official Strategy Guides (Bradygames)),BradyGames,BradyGames,2007-7-19,Paperback,176.0,3.9
668,"Fantasia Divinity Magazine: Issue 18, January 2018",David W. Landrum,CreateSpace Independent Publishing Platform,2018-2-2,Hardcover,50.0,
669,"Undead and Unemployed (Queen Betsy, Book 2)",MaryJanice Davidson,Berkley Sensation,2004-8-3,Hardcover,304.0,4.3
670,DISSIDIA FINAL FANTASY Signature Series Guide (Bradygames Signature Series Guide),BradyGames,BRADY GAMES,2009-9-1,Paperback,288.0,4.6
671,The Stone (Lockstone) (Volume 1),Seb L. Carter,CreateSpace Independent Publishing Platform,2017-9-28,Paperback,484.0,4.4
672,"Men's Coloring Book: A Manly Mans Adult Coloring Book: Cyborg Women, Futuristic Battles, Women And Motorcycles (Adult Coloring Books) (Volume 4)",Nathaniel Wake,CreateSpace Independent Publishing Platform,2017-6-16,Kindle,94.0,4.7
673,Sunborn Rising: Beneath the Fall,Aaron Safronoff,Neoglyphic Entertainment,2016-5-5,Hardcover,,4.5
674,Fantasia On Polish Christmas Carols,Christos Tsitsaros,Hal Leonard Corporation,2011-8-15,Kindle,16.0,3.4
675,"Fantasy in F Minor, Barcarolle, Berceuse and Other Works for Solo Piano (Dover Music for Piano)",Fr\u00e9d\u00e9ric Chopin,Dover Publications,1989-5-1,Hardcover,144.0,4.7
676,Dreamlander,K. M. Weiland,PenForASword,2012-11-20,Hardcover,544.0,4.5
677,Born of Water (The Rise of the Fifth Order) (Volume 1),Ms. Autumn M. Birt,CreateSpace Independent Publishing Platform,2015-7-23,Paperback,366.0,4.5
678,Branded,K. L. Hawker,Kimberley Hawker,2012-11-13,Paperback,328.0,4.1
679,"Final Fantasy coloring Book for Kids and Adults:Amazing Illustrations of Final Fantasy VII,VIII And More Series.",Nart Gandy,CreateSpace Independent Publishing Platform,2017-11-11,Paperback,38.0,2.0
680,Sacrifice: The Legacy Series: Book 3 (Volume 3),Jessica Ruddick,"Jessica Ruddick Books, LLC",2017-6-10,Paperback,256.0,5.0
681,Draw & Paint Fantasy Females,Tom Fleming,IMPACT,2009-8-28,Paperback,128.0,4.1
682,Forever Road (Peri Jean Mace Ghost Thriller),Catie Rhodes,Catie Rhodes,2013-4-23,Paperback,,4.4
683,Double Play: Fantasy Baseball Values and Strategies for 2018,Carl Anderson,Independently published,2018-2-8,Paperback,39.0,
684,Dune,Frank Herbert,Ace,1990-9-1,Hardcover,896.0,4.5
685,The Legend of Oescienne: The Finding,Jenna Elizabeth Johnson,CreateSpace Independent Publishing Platform,2009-6-30,Paperback,506.0,4.3
686,"The Legend of Zelda: Twilight Princess, Vol. 3",Akira Himekawa,VIZ Media LLC,2018-3-13,Kindle,200.0,
687,J.R.R. Tolkien: Master of Fantasy (Lerner Biographies),David R. Collins,First Avenue Editions,1993-1-1,Kindle,128.0,5.0
688,Final Fantasy VI: Original Sound Version Piano Solo Sheet Music,Squaresoft,Doremi Gakufu Shuppan Sha,1994-5-30,Paperback,200.0,4.7
689,Time Trap: Red Moon trilogy book 1 (Volume 1),Micah Caida,"Silver Hawk Press, LLC",2013-1-23,Paperback,340.0,4.3
690,Eternal (The Queen's Alpha Series) (Volume 1),W.J. May,CreateSpace Independent Publishing Platform,2018-1-7,Hardcover,200.0,4.6
691,Chronicles of Narnia Box Set,C. S. Lewis,HarperCollins Narnia,2010-10-19,Hardcover,,4.7
692,Siege of the Northland,Ruth Rathband,Kaluta Press,2017-8-24,Hardcover,216.0,5.0
693,What Kings Ate and Wizards Drank,Krista D. Ball,Tyche Books Ltd.,2013-1-15,Paperback,252.0,4.2
694,Fantasy Art Book,Javier Charro,CreateSpace Independent Publishing Platform,2016-12-6,Kindle,202.0,3.1
695,6 Dreamz & 9 Fantasies: The Mental Erotic Voyages of a Convict,Michael TaBon,Tri-E EPublishing,2005-12-23,Kindle,192.0,4.7
696,The Ancient Magus' Bride Vol. 8,Kore Yamazaki,Seven Seas,2018-2-27,Kindle,180.0,5.0
697,Realidad Y Fantasia (Spanish Edition),Emily Boyd,Perfection Learning,1984-12-1,Paperback,102.0,4.8
698,Lincoln in the Bardo: A Novel,George Saunders,Random House Trade Paperbacks,2018-2-6,Hardcover,368.0,3.6
699,Fantasy Football for Smart People: How Fantasy Football Pros Game Plan to Win,Jonathan Bales,CreateSpace Independent Publishing Platform,2014-5-30,Paperback,228.0,4.0
